"env","cor"
"19CS",0.202762528872318
"19TA",0.464122994658553
"20CS",0.363402027565537
"20LY",0.180467403277574
"19CS",0.163728743128504
"19TA",0.593310363256418
"20CS",0.473043709402388
"20LY",0.478418101081769
"19CS",0.270868937740607
"19TA",0.604350008731342
"20CS",0.469074940808037
"20LY",0.435778083574573
"19CS",0.288895831270869
"19TA",0.550174136802396
"20CS",0.510564913539816
"20LY",0.528734118919607
"19CS",0.342484139217809
"19TA",0.615057363468074
"20CS",0.472525302565339
"20LY",0.37967948086692
