"env","cor"
"19CS",0.253826456516701
"19TA",0.157761770685756
"20CS",0.585093710364965
"20LY",0.294148573439825
"19CS",0.265876584249401
"19TA",0.407738497264874
"20CS",0.560539315611664
"20LY",0.380979222697492
"19CS",0.13158431670928
"19TA",0.051577273284937
"20CS",0.407854678402506
"20LY",0.300942732657925
"19CS",0.243032353639867
"19TA",0.373708157742191
"20CS",0.526304865490601
"20LY",0.576346565480912
"19CS",0.322067272225523
"19TA",0.20883472566515
"20CS",0.483959849502148
"20LY",0.501669526023333
