"env","cor"
"19CS",0.391636044146076
"19TA",0.334797047303492
"20CS",0.367740178666809
"20LY",0.394488780822492
"19CS",0.211962380080816
"19TA",0.185094422647274
"20CS",0.324831384888282
"20LY",0.156044888494281
"19CS",0.387934715184486
"19TA",0.251470336580928
"20CS",0.409811394387621
"20LY",0.187325703929311
"19CS",0.269428972627089
"19TA",0.100333187388378
"20CS",0.310860959721448
"20LY",0.110696790364714
"19CS",0.375274260214067
"19TA",0.46744328837755
"20CS",0.366608401498497
"20LY",0.288761120997902
