"env","cor"
"19CS",0.565199832231715
"19TA",0.535269063999323
"20CS",0.786980896726504
"20LY",0.695272326882311
"19CS",0.51288866381403
"19TA",0.558543691447875
"20CS",0.801629940547169
"20LY",0.620428803717387
"19CS",0.464619891116846
"19TA",0.502342886570487
"20CS",0.739354835142984
"20LY",0.696217595235552
"19CS",0.505122723065263
"19TA",0.527457340571172
"20CS",0.76120182275433
"20LY",0.555692760795878
"19CS",0.56781762162819
"19TA",0.416369539947877
"20CS",0.728313613553387
"20LY",0.60604395149281
