"env","cor"
"19CS",0.590821213850494
"19TA",0.580165738655294
"20CS",0.662259346019138
"20LY",0.506748705000126
"19CS",0.459767921504074
"19TA",0.447512324894075
"20CS",0.548862045415512
"20LY",0.216232740998925
"19CS",0.399063109307011
"19TA",0.346348394334343
"20CS",0.552367540122943
"20LY",0.483651058268499
"19CS",0.460038369123282
"19TA",0.493311382351537
"20CS",0.551610639885607
"20LY",0.337139692825412
"19CS",0.398081617318129
"19TA",0.438801025476662
"20CS",0.56304128613126
"20LY",0.304299044550713
