"env","cor"
"19CS",0.241329849140534
"19TA",0.580376982302615
"20CS",0.349752657022963
"20LY",0.308798207984243
"19CS",0.325393546020814
"19TA",0.494323171061609
"20CS",0.394435390935827
"20LY",0.244506035350448
"19CS",0.24588239774301
"19TA",0.337660306711685
"20CS",0.383185701355692
"20LY",0.284375097196105
"19CS",0.183552351665666
"19TA",0.410137303492157
"20CS",0.476000804297366
"20LY",0.3177779935641
"19CS",0.298899707811139
"19TA",0.479828504005023
"20CS",0.403423461178717
"20LY",0.29875846625893
