"env","cor"
"19CS",0.235908979380725
"19TA",0.308167406757078
"20CS",0.682735188369657
"20LY",0.401437549006722
"19CS",0.233232094313037
"19TA",0.648632513646107
"20CS",0.550474454989857
"20LY",0.341036798422947
"19CS",0.26643563821697
"19TA",0.766436958103222
"20CS",0.643369430251915
"20LY",0.526951091692846
"19CS",0.339915369096803
"19TA",0.412215488729981
"20CS",0.60647247246173
"20LY",0.280519795487856
"19CS",0.231720684727679
"19TA",0.590590283928314
"20CS",0.52242121956128
"20LY",0.307639589332735
