"env","cor"
"19CS",0.469582393635837
"19TA",0.784513568581257
"20CS",0.647757587962583
"20LY",0.474974508142703
"19CS",0.347228575424816
"19TA",0.837345653833451
"20CS",0.6634591724112
"20LY",0.458521685014249
"19CS",0.304772177680201
"19TA",0.820926512609091
"20CS",0.679777828096814
"20LY",0.576657086364155
"19CS",0.306330588162584
"19TA",0.801094297771796
"20CS",0.695565277768011
"20LY",0.46385108020267
"19CS",0.405381198542787
"19TA",0.805311816974198
"20CS",0.678944519546532
"20LY",0.468959631008547
