"env","cor"
"19CS",0.465531957730172
"19TA",0.375069064740366
"20CS",0.73177783083929
"20LY",0.588812369628401
"19CS",0.543575005301906
"19TA",0.394865774891609
"20CS",0.644071395520221
"20LY",0.71846205102352
"19CS",0.406562559724828
"19TA",0.498844825498693
"20CS",0.658105034161075
"20LY",0.52833327953275
"19CS",0.418908708251322
"19TA",0.581518460735571
"20CS",0.755767619693579
"20LY",0.48080084177557
"19CS",0.443177914497643
"19TA",0.468236711499313
"20CS",0.683562587413748
"20LY",0.66810484914805
