"env","cor"
"19CS",0.764915916200179
"19TA",0.74724819807974
"20CS",0.712100952531904
"20LY",0.797285255435795
"19CS",0.732335402204615
"19TA",0.75142121108998
"20CS",0.711781360427883
"20LY",0.837784247542287
"19CS",0.54233591824963
"19TA",0.652242645634061
"20CS",0.590021007281313
"20LY",0.764911752543434
"19CS",0.623635591805786
"19TA",0.623919193268087
"20CS",0.575449568787986
"20LY",0.777716869431719
"19CS",0.70506257343848
"19TA",0.768186554688611
"20CS",0.697465979634803
"20LY",0.774394547176491
