"env","cor"
"19CS",0.587316505086253
"19TA",0.618967723010109
"20CS",0.628646810970357
"20LY",0.655476871069482
"19CS",0.61378675874378
"19TA",0.658139792147273
"20CS",0.625505573552328
"20LY",0.355498583376159
"19CS",0.594023483341589
"19TA",0.614720829194373
"20CS",0.488092302622452
"20LY",0.618849311702771
"19CS",0.489004631220332
"19TA",0.522296279347758
"20CS",0.465051600637174
"20LY",0.460414937236481
"19CS",0.676393560816374
"19TA",0.692877062722135
"20CS",0.71300342569065
"20LY",0.642109630593514
