"env","cor"
"19CS",0.613535408452112
"19TA",0.469065379754099
"20CS",0.614958565620736
"20LY",0.438772411359276
"19CS",0.635732116545687
"19TA",0.578694104800534
"20CS",0.681313435255144
"20LY",0.651725925797778
"19CS",0.648032408832713
"19TA",0.662684524757399
"20CS",0.658354852932067
"20LY",0.470735128304454
"19CS",0.446371367875362
"19TA",0.502354380932477
"20CS",0.638230306329548
"20LY",0.347111768785138
"19CS",0.607749283150428
"19TA",0.62119296341229
"20CS",0.615411419557118
"20LY",0.366645635118023
