"env","cor"
"19CS",0.594507536371426
"19TA",0.637185500851807
"20CS",0.687708100831251
"20LY",0.691173628265157
"19CS",0.559244587681602
"19TA",0.492006805172899
"20CS",0.659346604200852
"20LY",0.569240899087833
"19CS",0.428795005345987
"19TA",0.562700036657648
"20CS",0.588358958048607
"20LY",0.589259888960769
"19CS",0.522502230178783
"19TA",0.60852000769529
"20CS",0.644730577566355
"20LY",0.704173021706536
"19CS",0.563862983079629
"19TA",0.398686523178305
"20CS",0.571948822354846
"20LY",0.643896820122181
