"env","cor"
"19CS",0.814269534197392
"19TA",0.791433883212489
"20CS",0.743729542918301
"20LY",0.709518080051879
"19CS",0.810896547203271
"19TA",0.82479239720391
"20CS",0.806057836896241
"20LY",0.677356491447945
"19CS",0.814729272176013
"19TA",0.88055518599852
"20CS",0.770142320249812
"20LY",0.611543964355701
"19CS",0.77020476245463
"19TA",0.851340946086224
"20CS",0.713890384701663
"20LY",0.72802405204987
"19CS",0.814028693242575
"19TA",0.765627307489478
"20CS",0.832455075259133
"20LY",0.653988515055943
