"env","cor"
"19CS",0.453953285531486
"19TA",0.450949803090116
"20CS",0.59194312557045
"20LY",0.194947276346737
"19CS",0.324278641023899
"19TA",0.305122000724035
"20CS",0.488328786470361
"20LY",0.221451318260354
"19CS",0.376861401457705
"19TA",0.496387265760477
"20CS",0.47398192887595
"20LY",0.250784918371135
"19CS",0.320430510217555
"19TA",0.112124952403064
"20CS",0.459071259368721
"20LY",0.324309120359175
"19CS",0.291911533175201
"19TA",0.2572520478597
"20CS",0.488926381859014
"20LY",0.158992622403797
