"env","cor"
"19CS",0.335458635654588
"19TA",0.150005847917215
"20CS",0.351533114103513
"20LY",0.334232467053615
"19CS",0.460993091940771
"19TA",0.144353131196147
"20CS",0.541137534300905
"20LY",0.300549683342544
"19CS",0.542851875761754
"19TA",0.260029012278807
"20CS",0.588139466322092
"20LY",0.40805762852867
"19CS",0.405366589723941
"19TA",0.0923597186651513
"20CS",0.385168421650002
"20LY",0.434358126159578
"19CS",0.414822307206346
"19TA",0.118103969575228
"20CS",0.346311714803283
"20LY",0.359595558799002
