"env","cor"
"19CS",0.817824490790535
"19TA",0.893118511692891
"20CS",0.834364906397444
"20LY",0.788913981338333
"19CS",0.740327934457445
"19TA",0.833091994816567
"20CS",0.759380704194386
"20LY",0.680653831988852
"19CS",0.826503444179772
"19TA",0.815348830920334
"20CS",0.842697703614067
"20LY",0.797504216865547
"19CS",0.816456712219737
"19TA",0.839932253041562
"20CS",0.868103893505946
"20LY",0.848267642555354
"19CS",0.827716877939867
"19TA",0.886666378252106
"20CS",0.809348934038033
"20LY",0.758474742204152
