"env","cor"
"19CS",0.746867053955376
"19TA",0.754477139095489
"20CS",0.74022398263634
"20LY",0.534991904643478
"19CS",0.801805473965808
"19TA",0.760539699889036
"20CS",0.766645037232648
"20LY",0.715904126361486
"19CS",0.762781721048168
"19TA",0.703363849617581
"20CS",0.760483735475514
"20LY",0.680509151076692
"19CS",0.650589408526232
"19TA",0.58939189624754
"20CS",0.697070798113271
"20LY",0.735510406951159
"19CS",0.636183766746514
"19TA",0.644226215454945
"20CS",0.706079842048942
"20LY",0.68249424292675
