"env","cor"
"19CS",0.759947229522297
"19TA",0.866770116946971
"20CS",0.751858703788599
"20LY",0.748025146481509
"19CS",0.704562448266003
"19TA",0.701812982180497
"20CS",0.709178580791999
"20LY",0.680165597770032
"19CS",0.753811581179491
"19TA",0.787096710222833
"20CS",0.833840932219646
"20LY",0.715274600651821
"19CS",0.778153040269965
"19TA",0.818687357283491
"20CS",0.71712524913715
"20LY",0.773164858384058
"19CS",0.737673592944955
"19TA",0.847770090217676
"20CS",0.793432962371967
"20LY",0.775718211995899
