"env","cor"
"19CS",0.694837553609404
"19TA",0.784504505693917
"20CS",0.712892890780135
"20LY",0.72364711430657
"19CS",0.658349779309476
"19TA",0.643645166722205
"20CS",0.705142848549901
"20LY",0.525396888741086
"19CS",0.751487353276139
"19TA",0.772388120923722
"20CS",0.66501698832416
"20LY",0.516212724591125
"19CS",0.656840972398618
"19TA",0.686561419305468
"20CS",0.67935311919507
"20LY",0.749004035452587
"19CS",0.625503165355481
"19TA",0.687238065831973
"20CS",0.70609803103839
"20LY",0.490353930606009
