"env","cor"
"19CS",0.311076228857709
"19TA",0.528718771538668
"20CS",0.245842296683753
"20LY",0.0105584498740345
"19CS",0.193536590495565
"19TA",0.485196688036039
"20CS",0.154023925822
"20LY",0.0659269570486607
"19CS",0.191910808758432
"19TA",0.438135173526833
"20CS",0.210911084464302
"20LY",0.310095354765378
"19CS",0.292597307696329
"19TA",0.453625378429724
"20CS",0.266829776538702
"20LY",0.203607371634209
"19CS",0.278216231891521
"19TA",0.386055801866635
"20CS",0.321858053981516
"20LY",0.450067403992656
