"env","cor"
"19CS",0.0763871860686956
"19TA",0.612329079746738
"20CS",0.209548602908095
"20LY",0.211836400585576
"19CS",0.182580748917822
"19TA",0.483834589074776
"20CS",0.2213224917089
"20LY",0.251857951994593
"19CS",0.225994256096172
"19TA",0.439359654712006
"20CS",0.180297361216588
"20LY",0.214625200469739
"19CS",0.128138149319871
"19TA",0.534602986479365
"20CS",0.389777188460705
"20LY",0.114182120295515
"19CS",0.123059011931771
"19TA",0.633867171402192
"20CS",0.319520505024778
"20LY",0.182623730485122
