"","traits","model","CV","grains","M","SD"
"1","ash","M1","CV1","20CS",0.4628275238,0.162186614586252
"2","ash","M1","CV1","20LY",0.40107933505,0.213086063454361
"3","ash","M1","CV2","20CS",0.5584946262,0.18386795037374
"4","ash","M1","CV2","20LY",0.58454775805,0.17905023967
"5","ash","M2","CV1","20CS",0.44481565025,0.172774096911384
"6","ash","M2","CV1","20LY",0.49855718475,0.141604164748863
"7","ash","M2","CV2","20CS",0.48686552975,0.139734844168669
"8","ash","M2","CV2","20LY",0.5189768896,0.108543807021045
"9","ash","M3","CV1","20CS",0.82902194455,0.0709285114770104
"10","ash","M3","CV1","20LY",0.86299906315,0.0546340650126791
"11","ash","M3","CV2","20CS",0.894531854,0.0367128385370459
"12","ash","M3","CV2","20LY",0.9006658304,0.0380989716723735
"13","ash","M4","CV1","20CS",0.72723777055,0.0877501315700694
"14","ash","M4","CV1","20LY",0.85671148965,0.0453825071225586
"15","ash","M4","CV2","20CS",0.73520489385,0.0777863958188936
"16","ash","M4","CV2","20LY",0.89909949335,0.0372102843562227
"17","ash","M5","CV1","20CS",0.8425806253,0.0452247081476958
"18","ash","M5","CV1","20LY",0.3891994545,0.158878469790818
"19","ash","M5","CV2","20CS",0.88110633215,0.0394872484283843
"20","ash","M5","CV2","20LY",0.34556622755,0.132212544366188
"21","ash","M6","CV1","20CS",0.5882604456,0.165345844913698
"22","ash","M6","CV1","20LY",0.54461645015,0.167023343523507
"23","ash","M6","CV2","20CS",0.5962394571,0.169873909662287
"24","ash","M6","CV2","20LY",0.6270772832,0.171081252820236
"25","da","M1","CV1","20CS",0.659707621,0.0808895377990886
"26","da","M1","CV1","20LY",0.60417428845,0.0779784533676458
"27","da","M1","CV2","20CS",0.7683725964,0.069414530150028
"28","da","M1","CV2","20LY",0.7415257291,0.0669754799764158
"29","da","M2","CV1","20CS",0.4523131765,0.131915556938145
"30","da","M2","CV1","20LY",0.6446204892,0.102543305799155
"31","da","M2","CV2","20CS",0.72395230005,0.0582894275580828
"32","da","M2","CV2","20LY",0.75991071225,0.059495415946888
"33","da","M3","CV1","20CS",0.5725122093,0.129795645629991
"34","da","M3","CV1","20LY",0.55246678085,0.128205029640035
"35","da","M3","CV2","20CS",0.6403851093,0.0824129226086987
"36","da","M3","CV2","20LY",0.66259849165,0.0940458091209567
"37","da","M4","CV1","20CS",0.28707247865,0.164602413470658
"38","da","M4","CV1","20LY",0.574850918,0.110074323664257
"39","da","M4","CV2","20CS",0.3752083472,0.119095161128041
"40","da","M4","CV2","20LY",0.6443334261,0.0819777657647072
"41","da","M5","CV1","20CS",0.5527044421,0.122262480211013
"42","da","M5","CV1","20LY",0.49361858715,0.14876809848087
"43","da","M5","CV2","20CS",0.61267429655,0.121631097519948
"44","da","M5","CV2","20LY",0.5562275273,0.101374766722011
"45","da","M6","CV1","20CS",0.5862852579,0.084777769436171
"46","da","M6","CV1","20LY",0.70751073725,0.0809737771020144
"47","da","M6","CV2","20CS",0.75781049055,0.0701417668446644
"48","da","M6","CV2","20LY",0.7566365106,0.0604921065410256
"49","fat","M1","CV1","20CS",0.47750489695,0.111427273423008
"50","fat","M1","CV1","20LY",0.4475357153,0.0889585081339879
"51","fat","M1","CV2","20CS",0.60725774085,0.0777789604379475
"52","fat","M1","CV2","20LY",0.56150487325,0.0704210391740072
"53","fat","M2","CV1","20CS",0.4421734873,0.153733662643493
"54","fat","M2","CV1","20LY",0.53702336505,0.0886538212784672
"55","fat","M2","CV2","20CS",0.5634335694,0.104610513314619
"56","fat","M2","CV2","20LY",0.5980031258,0.0979137760235415
"57","fat","M3","CV1","20CS",0.75773098665,0.0975214712887815
"58","fat","M3","CV1","20LY",0.74414909865,0.086342431768419
"59","fat","M3","CV2","20CS",0.82068421215,0.0752764373374812
"60","fat","M3","CV2","20LY",0.83621443645,0.0659633721518581
"61","fat","M4","CV1","20CS",0.56545433415,0.105815613386551
"62","fat","M4","CV1","20LY",0.7382463616,0.135650852552722
"63","fat","M4","CV2","20CS",0.66598971405,0.0981326565713198
"64","fat","M4","CV2","20LY",0.8082892744,0.0752413585944487
"65","fat","M5","CV1","20CS",0.72888960455,0.0938905078148518
"66","fat","M5","CV1","20LY",0.42751065965,0.144408492125179
"67","fat","M5","CV2","20CS",0.80814332265,0.060490058395955
"68","fat","M5","CV2","20LY",0.4816975042,0.0890571167213552
"69","fat","M6","CV1","20CS",0.48957144815,0.0765488549508261
"70","fat","M6","CV1","20LY",0.5860087837,0.0925358379290288
"71","fat","M6","CV2","20CS",0.6051688348,0.069282641959149
"72","fat","M6","CV2","20LY",0.6039153462,0.0717546055631704
"73","fiber","M1","CV1","20CS",0.7195426028,0.0756583252998937
"74","fiber","M1","CV1","20LY",0.7399616109,0.0662410608960062
"75","fiber","M1","CV2","20CS",0.79351086805,0.0674085059578605
"76","fiber","M1","CV2","20LY",0.8042977474,0.0385808718855494
"77","fiber","M2","CV1","20CS",0.75306124345,0.0781380383863479
"78","fiber","M2","CV1","20LY",0.68723652245,0.0764582537490795
"79","fiber","M2","CV2","20CS",0.77969920665,0.0629139404901359
"80","fiber","M2","CV2","20LY",0.76922923945,0.0693914688931996
"81","fiber","M3","CV1","20CS",0.6711608265,0.126023999280598
"82","fiber","M3","CV1","20LY",0.77144657585,0.0785945407481758
"83","fiber","M3","CV2","20CS",0.8065562372,0.0575146137820148
"84","fiber","M3","CV2","20LY",0.837324545,0.0418909522954247
"85","fiber","M4","CV1","20CS",0.4513554015,0.117313558025068
"86","fiber","M4","CV1","20LY",0.7691702477,0.0537121417671892
"87","fiber","M4","CV2","20CS",0.58589242685,0.0813248560309126
"88","fiber","M4","CV2","20LY",0.83262385845,0.0484932979717519
"89","fiber","M5","CV1","20CS",0.6287338208,0.0927900456218699
"90","fiber","M5","CV1","20LY",0.6159088634,0.071236953307784
"91","fiber","M5","CV2","20CS",0.74904302345,0.0421007563124256
