"env","cor"
"19CS",0.836519770613715
"19TA",0.866425510203217
"20CS",0.866987923835786
"20LY",0.742306987209399
"19CS",0.836519770613715
"19TA",0.866425510203217
"20CS",0.866987923835786
"20LY",0.742306987209399
"19CS",0.836519770613715
"19TA",0.866425510203217
"20CS",0.866987923835786
"20LY",0.742306987209399
"19CS",0.836519770613715
"19TA",0.866425510203217
"20CS",0.866987923835786
"20LY",0.742306987209399
"19CS",0.836519770613715
"19TA",0.866425510203217
"20CS",0.866987923835786
"20LY",0.742306987209399
