"env","cor"
"19CS",0.213982572660762
"19TA",0.457386903892475
"20CS",0.405912611146125
"20LY",0.490917108913785
"19CS",0.213982572660762
"19TA",0.457386903892475
"20CS",0.405912611146125
"20LY",0.490917108913785
"19CS",0.213982572660762
"19TA",0.457386903892475
"20CS",0.405912611146125
"20LY",0.490917108913785
"19CS",0.213982572660762
"19TA",0.457386903892475
"20CS",0.405912611146125
"20LY",0.490917108913785
"19CS",0.213982572660762
"19TA",0.457386903892475
"20CS",0.405912611146125
"20LY",0.490917108913785
