"env","cor"
"19CS",0.67596937674371
"19TA",0.551387452113671
"20CS",0.790695376148588
"20LY",0.541172682080757
"19CS",0.67596937674371
"19TA",0.551387452113671
"20CS",0.790695376148588
"20LY",0.541172682080757
"19CS",0.67596937674371
"19TA",0.551387452113671
"20CS",0.790695376148588
"20LY",0.541172682080757
"19CS",0.67596937674371
"19TA",0.551387452113671
"20CS",0.790695376148588
"20LY",0.541172682080757
"19CS",0.67596937674371
"19TA",0.551387452113671
"20CS",0.790695376148588
"20LY",0.541172682080757
