"env","cor"
"19CS",0.441733960399498
"19TA",0.577778369983039
"20CS",0.429050617417361
"20LY",0.475460299903507
"19CS",0.441733960399498
"19TA",0.577778369983039
"20CS",0.429050617417361
"20LY",0.475460299903507
"19CS",0.441733960399498
"19TA",0.577778369983039
"20CS",0.429050617417361
"20LY",0.475460299903507
"19CS",0.441733960399498
"19TA",0.577778369983039
"20CS",0.429050617417361
"20LY",0.475460299903507
"19CS",0.441733960399498
"19TA",0.577778369983039
"20CS",0.429050617417361
"20LY",0.475460299903507
