"env","cor"
"19CS",0.59755368506919
"19TA",0.749150174578818
"20CS",0.634925309324948
"20LY",0.659621404371715
"19CS",0.59755368506919
"19TA",0.749150174578818
"20CS",0.634925309324948
"20LY",0.659621404371715
"19CS",0.59755368506919
"19TA",0.749150174578818
"20CS",0.634925309324948
"20LY",0.659621404371715
"19CS",0.59755368506919
"19TA",0.749150174578818
"20CS",0.634925309324948
"20LY",0.659621404371715
"19CS",0.59755368506919
"19TA",0.749150174578818
"20CS",0.634925309324948
"20LY",0.659621404371715
