"env","cor"
"19CS",0.498917065255857
"19TA",0.387568737014082
"20CS",0.520380952570428
"20LY",0.476684293885927
"19CS",0.498917065255857
"19TA",0.387568737014082
"20CS",0.520380952570428
"20LY",0.476684293885927
"19CS",0.498917065255857
"19TA",0.387568737014082
"20CS",0.520380952570428
"20LY",0.476684293885927
"19CS",0.498917065255857
"19TA",0.387568737014082
"20CS",0.520380952570428
"20LY",0.476684293885927
"19CS",0.498917065255857
"19TA",0.387568737014082
"20CS",0.520380952570428
"20LY",0.476684293885927
