"env","cor"
"19CS",0.389730937661495
"19TA",0.49008314363757
"20CS",0.331668707242507
"20LY",0.50924734722451
"19CS",0.389730937661495
"19TA",0.49008314363757
"20CS",0.331668707242507
"20LY",0.50924734722451
"19CS",0.389730937661495
"19TA",0.49008314363757
"20CS",0.331668707242507
"20LY",0.50924734722451
"19CS",0.389730937661495
"19TA",0.49008314363757
"20CS",0.331668707242507
"20LY",0.50924734722451
"19CS",0.389730937661495
"19TA",0.49008314363757
"20CS",0.331668707242507
"20LY",0.50924734722451
