"env","cor"
"19CS",0.21754980361991
"19TA",0.242678170292366
"20CS",0.221892932095178
"20LY",0.360455388275064
"19CS",0.21754980361991
"19TA",0.242678170292366
"20CS",0.221892932095178
"20LY",0.360455388275064
"19CS",0.21754980361991
"19TA",0.242678170292366
"20CS",0.221892932095178
"20LY",0.360455388275064
"19CS",0.21754980361991
"19TA",0.242678170292366
"20CS",0.221892932095178
"20LY",0.360455388275064
"19CS",0.21754980361991
"19TA",0.242678170292366
"20CS",0.221892932095178
"20LY",0.360455388275064
