"env","cor"
"19CS",0.346584213528583
"19TA",0.762761460540698
"20CS",0.663225068865939
"20LY",0.353852901163171
"19CS",0.346584213528583
"19TA",0.762761460540698
"20CS",0.663225068865939
"20LY",0.353852901163171
"19CS",0.346584213528583
"19TA",0.762761460540698
"20CS",0.663225068865939
"20LY",0.353852901163171
"19CS",0.346584213528583
"19TA",0.762761460540698
"20CS",0.663225068865939
"20LY",0.353852901163171
"19CS",0.346584213528583
"19TA",0.762761460540698
"20CS",0.663225068865939
"20LY",0.353852901163171
