"env","cor"
"19CS",0.25973015368559
"19TA",0.41306944886178
"20CS",0.436053338624353
"20LY",0.133423784833352
"19CS",0.25973015368559
"19TA",0.41306944886178
"20CS",0.436053338624353
"20LY",0.133423784833352
"19CS",0.25973015368559
"19TA",0.41306944886178
"20CS",0.436053338624353
"20LY",0.133423784833352
"19CS",0.25973015368559
"19TA",0.41306944886178
"20CS",0.436053338624353
"20LY",0.133423784833352
"19CS",0.25973015368559
"19TA",0.41306944886178
"20CS",0.436053338624353
"20LY",0.133423784833352
