"env","cor"
"19CS",0.815851376877344
"19TA",0.895676253308296
"20CS",0.702367424316112
"20LY",0.796306360197786
"19CS",0.815851376877344
"19TA",0.895676253308296
"20CS",0.702367424316112
"20LY",0.796306360197786
"19CS",0.815851376877344
"19TA",0.895676253308296
"20CS",0.702367424316112
"20LY",0.796306360197786
"19CS",0.815851376877344
"19TA",0.895676253308296
"20CS",0.702367424316112
"20LY",0.796306360197786
"19CS",0.815851376877344
"19TA",0.895676253308296
"20CS",0.702367424316112
"20LY",0.796306360197786
