"env","cor"
"19CS",0.7713388927432
"19TA",0.799970845588823
"20CS",0.650582500625501
"20LY",0.841890191106895
"19CS",0.7713388927432
"19TA",0.799970845588823
"20CS",0.650582500625501
"20LY",0.841890191106895
"19CS",0.7713388927432
"19TA",0.799970845588823
"20CS",0.650582500625501
"20LY",0.841890191106895
"19CS",0.7713388927432
"19TA",0.799970845588823
"20CS",0.650582500625501
"20LY",0.841890191106895
"19CS",0.7713388927432
"19TA",0.799970845588823
"20CS",0.650582500625501
"20LY",0.841890191106895
