"env","cor"
"19CS",0.583767520413773
"19TA",0.493986316102011
"20CS",0.687641817550629
"20LY",0.347867806519732
"19CS",0.583767520413773
"19TA",0.493986316102011
"20CS",0.687641817550629
"20LY",0.347867806519732
"19CS",0.583767520413773
"19TA",0.493986316102011
"20CS",0.687641817550629
"20LY",0.347867806519732
"19CS",0.583767520413773
"19TA",0.493986316102011
"20CS",0.687641817550629
"20LY",0.347867806519732
"19CS",0.583767520413773
"19TA",0.493986316102011
"20CS",0.687641817550629
"20LY",0.347867806519732
