"env","cor"
"19CS",0.856395879636503
"19TA",0.783623670616582
"20CS",0.881133934468387
"20LY",0.767107177450593
"19CS",0.856395879636503
"19TA",0.783623670616582
"20CS",0.881133934468387
"20LY",0.767107177450593
"19CS",0.856395879636503
"19TA",0.783623670616582
"20CS",0.881133934468387
"20LY",0.767107177450593
"19CS",0.856395879636503
"19TA",0.783623670616582
"20CS",0.881133934468387
"20LY",0.767107177450593
"19CS",0.856395879636503
"19TA",0.783623670616582
"20CS",0.881133934468387
"20LY",0.767107177450593
