"env","cor"
"19CS",0.406686335446185
"19TA",0.376099181889125
"20CS",0.495564901436109
"20LY",0.574604350615707
"19CS",0.406686335446185
"19TA",0.376099181889125
"20CS",0.495564901436109
"20LY",0.574604350615707
"19CS",0.406686335446185
"19TA",0.376099181889125
"20CS",0.495564901436109
"20LY",0.574604350615707
"19CS",0.406686335446185
"19TA",0.376099181889125
"20CS",0.495564901436109
"20LY",0.574604350615707
"19CS",0.406686335446185
"19TA",0.376099181889125
"20CS",0.495564901436109
"20LY",0.574604350615707
