"env","cor"
"19CS",0.512742654216653
"19TA",0.425233232145056
"20CS",0.661641791491803
"20LY",0.301766056752759
"19CS",0.512742654216653
"19TA",0.425233232145056
"20CS",0.661641791491803
"20LY",0.301766056752759
"19CS",0.512742654216653
"19TA",0.425233232145056
"20CS",0.661641791491803
"20LY",0.301766056752759
"19CS",0.512742654216653
"19TA",0.425233232145056
"20CS",0.661641791491803
"20LY",0.301766056752759
"19CS",0.512742654216653
"19TA",0.425233232145056
"20CS",0.661641791491803
"20LY",0.301766056752759
