"env","cor"
"19CS",0.572279174691895
"19TA",0.652687087976979
"20CS",0.598542826119118
"20LY",0.730446174638495
"19CS",0.572279174691895
"19TA",0.652687087976979
"20CS",0.598542826119118
"20LY",0.730446174638495
"19CS",0.572279174691895
"19TA",0.652687087976979
"20CS",0.598542826119118
"20LY",0.730446174638495
"19CS",0.572279174691895
"19TA",0.652687087976979
"20CS",0.598542826119118
"20LY",0.730446174638495
"19CS",0.572279174691895
"19TA",0.652687087976979
"20CS",0.598542826119118
"20LY",0.730446174638495
