"env","cor"
"19CS",0.602082813202269
"19TA",0.59646533877269
"20CS",0.60400935476854
"20LY",0.158368673023822
"19CS",0.602082813202269
"19TA",0.59646533877269
"20CS",0.60400935476854
"20LY",0.158368673023822
"19CS",0.602082813202269
"19TA",0.59646533877269
"20CS",0.60400935476854
"20LY",0.158368673023822
"19CS",0.602082813202269
"19TA",0.59646533877269
"20CS",0.60400935476854
"20LY",0.158368673023822
"19CS",0.602082813202269
"19TA",0.59646533877269
"20CS",0.60400935476854
"20LY",0.158368673023822
