"env","cor"
"19CS",0.833823155000843
"19TA",0.790906299359142
"20CS",0.826281259583966
"20LY",0.76163631875578
"19CS",0.833823155000843
"19TA",0.790906299359142
"20CS",0.826281259583966
"20LY",0.76163631875578
"19CS",0.833823155000843
"19TA",0.790906299359142
"20CS",0.826281259583966
"20LY",0.76163631875578
"19CS",0.833823155000843
"19TA",0.790906299359142
"20CS",0.826281259583966
"20LY",0.76163631875578
"19CS",0.833823155000843
"19TA",0.790906299359142
"20CS",0.826281259583966
"20LY",0.76163631875578
