"env","cor"
"19CS",0.324428133934169
"19TA",0.609053971664963
"20CS",0.5615868893374
"20LY",0.321461306895145
"19CS",0.324428133934169
"19TA",0.609053971664963
"20CS",0.5615868893374
"20LY",0.321461306895145
"19CS",0.324428133934169
"19TA",0.609053971664963
"20CS",0.5615868893374
"20LY",0.321461306895145
"19CS",0.324428133934169
"19TA",0.609053971664963
"20CS",0.5615868893374
"20LY",0.321461306895145
"19CS",0.324428133934169
"19TA",0.609053971664963
"20CS",0.5615868893374
"20LY",0.321461306895145
