"env","cor"
"19CS",0.37488439338113
"19TA",0.849466347147713
"20CS",0.692395244251017
"20LY",0.388656509470118
"19CS",0.472224209282033
"19TA",0.834326867350748
"20CS",0.71628897535067
"20LY",0.557703524353887
"19CS",0.491625436525096
"19TA",0.781549488829067
"20CS",0.517939947339928
"20LY",0.650119348661107
"19CS",0.480490019530156
"19TA",0.662393130499313
"20CS",0.62814466258866
"20LY",0.432387266707383
"19CS",0.212554051325057
"19TA",0.708260678502522
"20CS",0.566431840984087
"20LY",0.525023347720477
