"env","cor"
"19CS",0.68746396133455
"19TA",0.735440667457255
"20CS",0.733267118417094
"20LY",0.751924283058302
"19CS",0.709415186777846
"19TA",0.607200905191509
"20CS",0.780672651671423
"20LY",0.706543521868432
"19CS",0.553138058406742
"19TA",0.485040505696123
"20CS",0.575316988690926
"20LY",0.648397336642864
"19CS",0.611574502293142
"19TA",0.746909252329021
"20CS",0.791525575573291
"20LY",0.766893255529033
"19CS",0.701460941753242
"19TA",0.540814817608865
"20CS",0.751363632757974
"20LY",0.81343623009926
