"env","cor"
"19CS",0.430433889457951
"19TA",0.320021777024943
"20CS",0.553810079488941
"20LY",0.313092746485373
"19CS",0.509996004805861
"19TA",0.319917246072536
"20CS",0.651419995601539
"20LY",0.500061187731422
"19CS",0.551173962314101
"19TA",0.613681342290222
"20CS",0.521261186014424
"20LY",0.385323047607798
"19CS",0.507371319831792
"19TA",0.432720347294478
"20CS",0.633313314374322
"20LY",0.378624913978278
"19CS",0.549017018999644
"19TA",0.451798865007877
"20CS",0.536620180566202
"20LY",0.431555540048111
