"env","cor"
"19CS",0.661297399710209
"19TA",0.599594968258649
"20CS",0.624597863931635
"20LY",0.498424514663891
"19CS",0.641894523849812
"19TA",0.639164869921306
"20CS",0.667740286300289
"20LY",0.534970961665506
"19CS",0.627338495684977
"19TA",0.627996583087979
"20CS",0.6870460926522
"20LY",0.642632176495903
"19CS",0.580989614201563
"19TA",0.578806926416768
"20CS",0.582348263548877
"20LY",0.32898318534
"19CS",0.584847656456376
"19TA",0.64150914660373
"20CS",0.580048375067002
"20LY",0.447141717182461
