"env","cor"
"19CS",0.162789752946747
"19TA",0.448696864924707
"20CS",0.330758129333247
"20LY",0.294213083264813
"19CS",0.128629781422245
"19TA",0.319790543097255
"20CS",0.288149841856211
"20LY",0.406015958531659
"19CS",0.231414972723783
"19TA",0.294171022354359
"20CS",0.41264850116222
"20LY",0.500451068511789
"19CS",0.302853309704929
"19TA",0.48562289108501
"20CS",0.42473592646977
"20LY",0.53960434372202
"19CS",0.259874831862843
"19TA",0.386972282805025
"20CS",0.432303342579076
"20LY",0.577760597848596
