"env","cor"
"19CS",0.754465394333486
"19TA",0.689402307515056
"20CS",0.838557650677524
"20LY",0.625041470848529
"19CS",0.841304797702471
"19TA",0.724790023797912
"20CS",0.834783777541324
"20LY",0.604877563452894
"19CS",0.78324308590234
"19TA",0.672266091782616
"20CS",0.883258019756942
"20LY",0.757806324280076
"19CS",0.819160467680828
"19TA",0.76762347844752
"20CS",0.867681801905128
"20LY",0.659190485127119
"19CS",0.804138366523492
"19TA",0.764701096112208
"20CS",0.877117389364459
"20LY",0.81888506376165
