"env","cor"
"19CS",0.81560976762433
"19TA",0.788636394251098
"20CS",0.867506806941585
"20LY",0.846874314830182
"19CS",0.843593983146648
"19TA",0.835559814772746
"20CS",0.864226729968436
"20LY",0.897872894981912
"19CS",0.817825984491929
"19TA",0.856721690325466
"20CS",0.862611460483188
"20LY",0.883897435899769
"19CS",0.865586882674689
"19TA",0.898792830085193
"20CS",0.903366132818349
"20LY",0.845889415307201
"19CS",0.741549632906315
"19TA",0.819693116530856
"20CS",0.787959313404448
"20LY",0.804759172715161
