"env","cor"
"19CS",0.437991270599894
"19TA",0.0263470787438384
"20CS",0.496648871845713
"20LY",0.532921105429901
"19CS",0.312387832210765
"19TA",0.0204850042034251
"20CS",0.542480167305228
"20LY",0.128132007515143
"19CS",0.449669774339743
"19TA",0.188852781117894
"20CS",0.591027847889444
"20LY",0.497755251518336
"19CS",0.46545699690842
"19TA",0.196662841337719
"20CS",0.596027280589088
"20LY",0.229079419507667
"19CS",0.446862319393368
"19TA",0.162855778204897
"20CS",0.510007132557972
"20LY",0.352640790517813
