"env","cor"
"19CS",0.771325151074981
"19TA",0.747050421395894
"20CS",0.663077749187045
"20LY",0.523288779063659
"19CS",0.676689510405585
"19TA",0.812268028818776
"20CS",0.780446898851846
"20LY",0.509730269169009
"19CS",0.832946279837466
"19TA",0.828806952378824
"20CS",0.828652905083537
"20LY",0.595580595896495
"19CS",0.732464147385659
"19TA",0.733776800857507
"20CS",0.741014076995345
"20LY",0.690308546899907
"19CS",0.634833490604284
"19TA",0.617133238861127
"20CS",0.646098614813363
"20LY",0.550421235360454
