"env","cor"
"19CS",0.849451596376689
"19TA",0.909534048884138
"20CS",0.919972228039989
"20LY",0.616638080218566
"19CS",0.815439210190996
"19TA",0.877229561820429
"20CS",0.852162585831243
"20LY",0.684000897854855
"19CS",0.802327517489643
"19TA",0.821719904452778
"20CS",0.868310959564339
"20LY",0.580356584501629
"19CS",0.748032671458134
"19TA",0.761454363818897
"20CS",0.812812030714048
"20LY",0.762261733376864
"19CS",0.811694737573494
"19TA",0.801404008338198
"20CS",0.85575547586287
"20LY",0.730640057991273
