"env","cor"
"19CS",0.252447406646791
"19TA",0.31141362335329
"20CS",0.18704996881526
"20LY",0.132689898230992
"19CS",0.108328492643305
"19TA",0.492782680069937
"20CS",0.10198775955825
"20LY",0.290859718781412
"19CS",0.353423657184747
"19TA",0.355743326443911
"20CS",0.357313566166848
"20LY",0.175950502133565
"19CS",0.183381736475815
"19TA",0.115405509849549
"20CS",0.216794625732529
"20LY",0.04451980489895
"19CS",0.207759203425745
"19TA",0.35506177984543
"20CS",0.282181532037966
"20LY",0.287865917643694
