"env","cor"
"19CS",0.365622804750911
"19TA",0.39523764426507
"20CS",0.379105508956277
"20LY",0.391596555974744
"19CS",0.261627225301292
"19TA",0.674615837870727
"20CS",0.399251228894334
"20LY",0.51830427477605
"19CS",0.286700698147875
"19TA",0.625426406298318
"20CS",0.443306459181624
"20LY",0.340037621982232
"19CS",0.372428106370641
"19TA",0.636662743984265
"20CS",0.434532465854481
"20LY",0.435840080858501
"19CS",0.239994145907813
"19TA",0.549775580875862
"20CS",0.46854696586271
"20LY",0.194050240308081
