"env","cor"
"19CS",0.501138082577034
"19TA",0.762215414320779
"20CS",0.480243792107992
"20LY",0.451615494595158
"19CS",0.134239060394846
"19TA",0.809954987767296
"20CS",0.546739565030534
"20LY",0.401885975682392
"19CS",0.421228116157806
"19TA",0.711313478484058
"20CS",0.638025079478899
"20LY",0.502394250358569
"19CS",0.41608614334425
"19TA",0.778559140120901
"20CS",0.555978147369502
"20LY",0.692445445940012
"19CS",0.172158316405882
"19TA",0.70040646566867
"20CS",0.448810817170414
"20LY",0.643632403474353
