"env","cor"
"19CS",0.49086362901155
"19TA",0.816683714394047
"20CS",0.734499090921714
"20LY",0.640656903435432
"19CS",0.422215612957518
"19TA",0.796309234933079
"20CS",0.799638393496534
"20LY",0.686331112352612
"19CS",0.413994159427808
"19TA",0.802709255504605
"20CS",0.713008301065617
"20LY",0.550019280172137
"19CS",0.362604853485745
"19TA",0.896727119525002
"20CS",0.676007122215518
"20LY",0.457329240952908
"19CS",0.373417410933613
"19TA",0.800153585793368
"20CS",0.721869688938954
"20LY",0.628295906886212
