"env","cor"
"19CS",0.722008644309096
"19TA",0.730155206305026
"20CS",0.649046301092714
"20LY",0.763438411312278
"19CS",0.689378019284006
"19TA",0.656536049837286
"20CS",0.59333540509049
"20LY",0.772906427764607
"19CS",0.655283964930347
"19TA",0.701706868710918
"20CS",0.461853811184955
"20LY",0.77031093646459
"19CS",0.739708850091796
"19TA",0.684251823931407
"20CS",0.650197633207611
"20LY",0.77347208362042
"19CS",0.667806028062748
"19TA",0.63355440042723
"20CS",0.609842981928427
"20LY",0.726223742820206
