"env","cor"
"19CS",0.792605370046842
"19TA",0.729978278248162
"20CS",0.719241460681542
"20LY",0.780959199237828
"19CS",0.648586524564732
"19TA",0.5206459500556
"20CS",0.58704871695705
"20LY",0.623869100191871
"19CS",0.532686077976177
"19TA",0.531639867035606
"20CS",0.407861925089427
"20LY",0.61200758023827
"19CS",0.681576931076189
"19TA",0.715074498692437
"20CS",0.563097495751696
"20LY",0.528455757035253
"19CS",0.619496196479577
"19TA",0.503405644496852
"20CS",0.415869397311166
"20LY",0.50483974004121
