"env","cor"
"19CS",0.631937966751505
"19TA",0.508614441846364
"20CS",0.779743590002738
"20LY",0.560866952217066
"19CS",0.814385865416688
"19TA",0.559189689000408
"20CS",0.911918396399052
"20LY",0.825645567718413
"19CS",0.848830259368136
"19TA",0.799423972706856
"20CS",0.851794522677978
"20LY",0.672634101481759
"19CS",0.826638951014763
"19TA",0.782263130504958
"20CS",0.906111148834125
"20LY",0.729953440576659
"19CS",0.785837860605505
"19TA",0.67673928271345
"20CS",0.851531484197564
"20LY",0.652275169401597
