"env","cor"
"19CS",0.502599613755182
"19TA",0.536637841834389
"20CS",0.413094305450937
"20LY",0.506867340321713
"19CS",0.404732320279622
"19TA",0.490763376905152
"20CS",0.471117383488039
"20LY",0.484841716395096
"19CS",0.563437180289801
"19TA",0.538121513220635
"20CS",0.59221201284519
"20LY",0.336046532527368
"19CS",0.584108665420846
"19TA",0.618351333122384
"20CS",0.52170225136084
"20LY",0.702097226846402
"19CS",0.444698170153109
"19TA",0.636178552634428
"20CS",0.564692410648668
"20LY",0.573108441429437
