"env","cor"
"19CS",0.751329594087577
"19TA",0.786501741437682
"20CS",0.773650209662693
"20LY",0.776185975148973
"19CS",0.790544676011873
"19TA",0.703787785537904
"20CS",0.822722555418659
"20LY",0.851327947720551
"19CS",0.766355908901782
"19TA",0.635460635501545
"20CS",0.78049849863453
"20LY",0.748352961551063
"19CS",0.77968908984166
"19TA",0.783329604166913
"20CS",0.839084001944787
"20LY",0.786603922838168
"19CS",0.608916958148271
"19TA",0.415041939053786
"20CS",0.656600045419611
"20LY",0.792680375417854
