"env","cor"
"19CS",0.638115234420549
"19TA",0.595232672695122
"20CS",0.65155412392182
"20LY",0.65189611829868
"19CS",0.549938122388008
"19TA",0.559714178041291
"20CS",0.698126471852508
"20LY",0.712228083078332
"19CS",0.426007248136601
"19TA",0.513027251723989
"20CS",0.551121018935215
"20LY",0.65009694242094
"19CS",0.553322959186985
"19TA",0.485542286458154
"20CS",0.701971555422093
"20LY",0.666278174082832
"19CS",0.471567582719256
"19TA",0.534865423492739
"20CS",0.545356001341892
"20LY",0.554648033085634
