"env","cor"
"19CS",0.435526726418141
"19TA",0.489969679633423
"20CS",0.426068745576268
"20LY",0.227530113045921
"19CS",0.621617363699945
"19TA",0.672806058886311
"20CS",0.568703872786685
"20LY",0.494665962953214
"19CS",0.350299415686433
"19TA",0.183416556415448
"20CS",0.303615525271635
"20LY",0.429936306571103
"19CS",0.538381782775831
"19TA",0.739233144723413
"20CS",0.421074224009497
"20LY",0.39188928271185
"19CS",0.62340895556191
"19TA",0.608587079032978
"20CS",0.512664561182912
"20LY",0.404789737530972
